Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE
2012-01-01,1,Ciutat Vella,1,el Raval,1,1001,583,1
2012-01-01,1,Ciutat Vella,1,el Raval,1,1001,811,2
2012-01-01,1,Ciutat Vella,1,el Raval,1,1002,746,1
2012-01-01,1,Ciutat Vella,1,el Raval,1,1002,847,2
2012-01-01,1,Ciutat Vella,1,el Raval,2,1003,1539,1
2012-01-01,1,Ciutat Vella,1,el Raval,2,1003,1825,2
2012-01-01,1,Ciutat Vella,1,el Raval,2,1004,1281,1
2012-01-01,1,Ciutat Vella,1,el Raval,2,1004,1586,2
2012-01-01,1,Ciutat Vella,1,el Raval,3,1005,1136,1
2012-01-01,1,Ciutat Vella,1,el Raval,3,1005,1505,2
2012-01-01,1,Ciutat Vella,1,el Raval,3,1006,805,1
2012-01-01,1,Ciutat Vella,1,el Raval,3,1006,1064,2
2012-01-01,1,Ciutat Vella,1,el Raval,3,1007,804,1
2012-01-01,1,Ciutat Vella,1,el Raval,3,1007,1295,2
2012-01-01,1,Ciutat Vella,1,el Raval,4,1008,1333,1
2012-01-01,1,Ciutat Vella,1,el Raval,4,1008,2075,2
2012-01-01,1,Ciutat Vella,1,el Raval,4,1009,995,1
2012-01-01,1,Ciutat Vella,1,el Raval,4,1009,1188,2
2012-01-01,1,Ciutat Vella,1,el Raval,4,1010,1037,1
2012-01-01,1,Ciutat Vella,1,el Raval,4,1010,1441,2
2012-01-01,1,Ciutat Vella,1,el Raval,5,1011,1576,1
2012-01-01,1,Ciutat Vella,1,el Raval,5,1011,2088,2
2012-01-01,1,Ciutat Vella,1,el Raval,5,1012,938,1
2012-01-01,1,Ciutat Vella,1,el Raval,5,1012,1007,2
2012-01-01,1,Ciutat Vella,1,el Raval,5,1013,718,1
2012-01-01,1,Ciutat Vella,1,el Raval,5,1013,635,2
2012-01-01,1,Ciutat Vella,1,el Raval,6,1014,988,1
2012-01-01,1,Ciutat Vella,1,el Raval,6,1014,1051,2
2012-01-01,1,Ciutat Vella,1,el Raval,6,1015,1127,1
2012-01-01,1,Ciutat Vella,1,el Raval,6,1015,1178,2
2012-01-01,1,Ciutat Vella,1,el Raval,6,1016,1131,1
2012-01-01,1,Ciutat Vella,1,el Raval,6,1016,1202,2
2012-01-01,1,Ciutat Vella,1,el Raval,6,1017,1273,1
2012-01-01,1,Ciutat Vella,1,el Raval,6,1017,1486,2
2012-01-01,1,Ciutat Vella,1,el Raval,7,1018,757,1
2012-01-01,1,Ciutat Vella,1,el Raval,7,1018,793,2
2012-01-01,1,Ciutat Vella,1,el Raval,7,1019,1310,1
2012-01-01,1,Ciutat Vella,1,el Raval,7,1019,1629,2
2012-01-01,1,Ciutat Vella,1,el Raval,7,1020,1157,1
2012-01-01,1,Ciutat Vella,1,el Raval,7,1020,987,2
2012-01-01,1,Ciutat Vella,1,el Raval,8,1021,1041,1
2012-01-01,1,Ciutat Vella,1,el Raval,8,1021,1023,2
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,654,1
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,565,2
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,1192,1
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,1357,2
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,659,1
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,646,2
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,917,1
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,1551,2
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,761,1
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,810,2
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,879,1
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,1180,2
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,677,1
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,719,2
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1187,1
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1402,2
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,793,1
2012-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,932,2
2012-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,961,1
2012-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,1024,2
2012-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,558,1
2012-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,572,2
2012-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,571,1
2012-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,536,2
2012-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,663,1
2012-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,699,2
2012-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,628,1
2012-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,584,2
2012-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,719,1
2012-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,659,2
2012-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,766,1
2012-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,853,2
2012-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,707,1
2012-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,684,2
2012-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,565,1
2012-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,555,2
2012-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,769,1
2012-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,803,2
2012-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,982,1
2012-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,854,2
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,582,1
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,636,2
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,781,1
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,716,2
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,1066,1
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,1021,2
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,862,1
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,863,2
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,963,1
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,891,2
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,1153,1
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,1173,2
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,755,1
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,666,2
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,818,1
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,857,2
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,928,1
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,947,2
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,1155,1
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,1276,2
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,1017,1
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,1053,2
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,672,1
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,676,2
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,673,1
2012-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,573,2
2012-01-01,2,Eixample,5,el Fort Pienc,20,2001,628,1
2012-01-01,2,Eixample,5,el Fort Pienc,20,2001,600,2
