Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE
2009-01-01,1,Ciutat Vella,1,el Raval,1,1001,584,1
2009-01-01,1,Ciutat Vella,1,el Raval,1,1001,727,2
2009-01-01,1,Ciutat Vella,1,el Raval,1,1002,708,1
2009-01-01,1,Ciutat Vella,1,el Raval,1,1002,819,2
2009-01-01,1,Ciutat Vella,1,el Raval,2,1003,1507,1
2009-01-01,1,Ciutat Vella,1,el Raval,2,1003,1759,2
2009-01-01,1,Ciutat Vella,1,el Raval,2,1004,1345,1
2009-01-01,1,Ciutat Vella,1,el Raval,2,1004,1653,2
2009-01-01,1,Ciutat Vella,1,el Raval,3,1005,1076,1
2009-01-01,1,Ciutat Vella,1,el Raval,3,1005,1349,2
2009-01-01,1,Ciutat Vella,1,el Raval,3,1006,835,1
2009-01-01,1,Ciutat Vella,1,el Raval,3,1006,1179,2
2009-01-01,1,Ciutat Vella,1,el Raval,3,1007,837,1
2009-01-01,1,Ciutat Vella,1,el Raval,3,1007,1173,2
2009-01-01,1,Ciutat Vella,1,el Raval,4,1008,1271,1
2009-01-01,1,Ciutat Vella,1,el Raval,4,1008,2075,2
2009-01-01,1,Ciutat Vella,1,el Raval,4,1009,1037,1
2009-01-01,1,Ciutat Vella,1,el Raval,4,1009,1172,2
2009-01-01,1,Ciutat Vella,1,el Raval,4,1010,985,1
2009-01-01,1,Ciutat Vella,1,el Raval,4,1010,1359,2
2009-01-01,1,Ciutat Vella,1,el Raval,5,1011,1453,1
2009-01-01,1,Ciutat Vella,1,el Raval,5,1011,1946,2
2009-01-01,1,Ciutat Vella,1,el Raval,5,1012,895,1
2009-01-01,1,Ciutat Vella,1,el Raval,5,1012,972,2
2009-01-01,1,Ciutat Vella,1,el Raval,5,1013,671,1
2009-01-01,1,Ciutat Vella,1,el Raval,5,1013,638,2
2009-01-01,1,Ciutat Vella,1,el Raval,6,1014,940,1
2009-01-01,1,Ciutat Vella,1,el Raval,6,1014,1002,2
2009-01-01,1,Ciutat Vella,1,el Raval,6,1015,1180,1
2009-01-01,1,Ciutat Vella,1,el Raval,6,1015,1198,2
2009-01-01,1,Ciutat Vella,1,el Raval,6,1016,1202,1
2009-01-01,1,Ciutat Vella,1,el Raval,6,1016,1137,2
2009-01-01,1,Ciutat Vella,1,el Raval,6,1017,1235,1
2009-01-01,1,Ciutat Vella,1,el Raval,6,1017,1391,2
2009-01-01,1,Ciutat Vella,1,el Raval,7,1018,753,1
2009-01-01,1,Ciutat Vella,1,el Raval,7,1018,733,2
2009-01-01,1,Ciutat Vella,1,el Raval,7,1019,1335,1
2009-01-01,1,Ciutat Vella,1,el Raval,7,1019,1599,2
2009-01-01,1,Ciutat Vella,1,el Raval,7,1020,1180,1
2009-01-01,1,Ciutat Vella,1,el Raval,7,1020,967,2
2009-01-01,1,Ciutat Vella,1,el Raval,8,1021,1076,1
2009-01-01,1,Ciutat Vella,1,el Raval,8,1021,1010,2
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,655,1
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,560,2
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,3119,1
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,4335,2
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,686,1
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,663,2
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,1123,1
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,1835,2
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,829,1
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,827,2
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,895,1
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,1206,2
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,720,1
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,797,2
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1226,1
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,1510,2
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,820,1
2009-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,987,2
2009-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,1002,1
2009-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,1001,2
2009-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,617,1
2009-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,603,2
2009-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,557,1
2009-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,590,2
2009-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,727,1
2009-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,775,2
2009-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,643,1
2009-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,596,2
2009-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,738,1
2009-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,701,2
2009-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,771,1
2009-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,881,2
2009-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,721,1
2009-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,719,2
2009-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,578,1
2009-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,555,2
2009-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,801,1
2009-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,857,2
2009-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,963,1
2009-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,835,2
2009-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,573,1
2009-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,558,2
2009-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,763,1
2009-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,708,2
2009-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,1079,1
2009-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,1067,2
2009-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,936,1
2009-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,947,2
2009-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,986,1
