Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE
2004-01-01,1,Ciutat Vella,1,el Raval,1,1001,558,1
2004-01-01,1,Ciutat Vella,1,el Raval,1,1001,723,2
2004-01-01,1,Ciutat Vella,1,el Raval,1,1002,737,1
2004-01-01,1,Ciutat Vella,1,el Raval,1,1002,872,2
2004-01-01,1,Ciutat Vella,1,el Raval,2,1003,1427,1
2004-01-01,1,Ciutat Vella,1,el Raval,2,1003,1670,2
2004-01-01,1,Ciutat Vella,1,el Raval,2,1004,1322,1
2004-01-01,1,Ciutat Vella,1,el Raval,2,1004,1552,2
2004-01-01,1,Ciutat Vella,1,el Raval,3,1005,1057,1
2004-01-01,1,Ciutat Vella,1,el Raval,3,1005,1303,2
2004-01-01,1,Ciutat Vella,1,el Raval,3,1006,901,1
2004-01-01,1,Ciutat Vella,1,el Raval,3,1006,1145,2
2004-01-01,1,Ciutat Vella,1,el Raval,3,1007,777,1
2004-01-01,1,Ciutat Vella,1,el Raval,3,1007,1222,2
2004-01-01,1,Ciutat Vella,1,el Raval,4,1008,1212,1
2004-01-01,1,Ciutat Vella,1,el Raval,4,1008,1916,2
2004-01-01,1,Ciutat Vella,1,el Raval,4,1009,919,1
2004-01-01,1,Ciutat Vella,1,el Raval,4,1009,1102,2
2004-01-01,1,Ciutat Vella,1,el Raval,4,1010,976,1
2004-01-01,1,Ciutat Vella,1,el Raval,4,1010,1357,2
2004-01-01,1,Ciutat Vella,1,el Raval,5,1011,1413,1
2004-01-01,1,Ciutat Vella,1,el Raval,5,1011,1870,2
2004-01-01,1,Ciutat Vella,1,el Raval,5,1012,844,1
2004-01-01,1,Ciutat Vella,1,el Raval,5,1012,904,2
2004-01-01,1,Ciutat Vella,1,el Raval,5,1013,624,1
2004-01-01,1,Ciutat Vella,1,el Raval,5,1013,567,2
2004-01-01,1,Ciutat Vella,1,el Raval,6,1014,870,1
2004-01-01,1,Ciutat Vella,1,el Raval,6,1014,898,2
