Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,588,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,752,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,755,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,908,2
2005-01-01,1,Ciutat Vella,1,el Raval,2,1003,1466,1
2005-01-01,1,Ciutat Vella,1,el Raval,2,1003,1743,2
2005-01-01,1,Ciutat Vella,1,el Raval,2,1004,1363,1
2005-01-01,1,Ciutat Vella,1,el Raval,2,1004,1567,2
2005-01-01,1,Ciutat Vella,1,el Raval,3,1005,1039,1
2005-01-01,1,Ciutat Vella,1,el Raval,3,1005,1291,2
2005-01-01,1,Ciutat Vella,1,el Raval,3,1006,956,1
2005-01-01,1,Ciutat Vella,1,el Raval,3,1006,1351,2
2005-01-01,1,Ciutat Vella,1,el Raval,3,1007,772,1
2005-01-01,1,Ciutat Vella,1,el Raval,3,1007,1298,2
2005-01-01,1,Ciutat Vella,1,el Raval,4,1008,1204,1
2005-01-01,1,Ciutat Vella,1,el Raval,4,1008,2069,2
2005-01-01,1,Ciutat Vella,1,el Raval,4,1009,935,1
2005-01-01,1,Ciutat Vella,1,el Raval,4,1009,1170,2
2005-01-01,1,Ciutat Vella,1,el Raval,4,1010,999,1
2005-01-01,1,Ciutat Vella,1,el Raval,4,1010,1385,2
2005-01-01,1,Ciutat Vella,1,el Raval,5,1011,1426,1
2005-01-01,1,Ciutat Vella,1,el Raval,5,1011,1953,2
2005-01-01,1,Ciutat Vella,1,el Raval,5,1012,863,1
2005-01-01,1,Ciutat Vella,1,el Raval,5,1012,945,2
2005-01-01,1,Ciutat Vella,1,el Raval,5,1013,623,1
2005-01-01,1,Ciutat Vella,1,el Raval,5,1013,591,2
2005-01-01,1,Ciutat Vella,1,el Raval,6,1014,863,1
2005-01-01,1,Ciutat Vella,1,el Raval,6,1014,891,2
2005-01-01,1,Ciutat Vella,1,el Raval,6,1015,1104,1
2005-01-01,1,Ciutat Vella,1,el Raval,6,1015,1101,2
2005-01-01,1,Ciutat Vella,1,el Raval,6,1016,1179,1
2005-01-01,1,Ciutat Vella,1,el Raval,6,1016,1021,2
2005-01-01,1,Ciutat Vella,1,el Raval,6,1017,1213,1
2005-01-01,1,Ciutat Vella,1,el Raval,6,1017,1343,2
2005-01-01,1,Ciutat Vella,1,el Raval,7,1018,669,1
2005-01-01,1,Ciutat Vella,1,el Raval,7,1018,675,2
2005-01-01,1,Ciutat Vella,1,el Raval,7,1019,1387,1
2005-01-01,1,Ciutat Vella,1,el Raval,7,1019,1693,2
2005-01-01,1,Ciutat Vella,1,el Raval,7,1020,1205,1
2005-01-01,1,Ciutat Vella,1,el Raval,7,1020,948,2
2005-01-01,1,Ciutat Vella,1,el Raval,8,1021,1057,1
2005-01-01,1,Ciutat Vella,1,el Raval,8,1021,968,2
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,647,1
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,546,2
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,4722,1
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,8219,2
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,688,1
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,622,2
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,819,1
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,830,2
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,794,1
