Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE
2007-01-01,1,Ciutat Vella,1,el Raval,1,1001,586,1
2007-01-01,1,Ciutat Vella,1,el Raval,1,1001,765,2
2007-01-01,1,Ciutat Vella,1,el Raval,1,1002,709,1
2007-01-01,1,Ciutat Vella,1,el Raval,1,1002,814,2
2007-01-01,1,Ciutat Vella,1,el Raval,2,1003,1460,1
2007-01-01,1,Ciutat Vella,1,el Raval,2,1003,1651,2
2007-01-01,1,Ciutat Vella,1,el Raval,2,1004,1305,1
2007-01-01,1,Ciutat Vella,1,el Raval,2,1004,1583,2
2007-01-01,1,Ciutat Vella,1,el Raval,3,1005,991,1
2007-01-01,1,Ciutat Vella,1,el Raval,3,1005,1247,2
2007-01-01,1,Ciutat Vella,1,el Raval,3,1006,848,1
2007-01-01,1,Ciutat Vella,1,el Raval,3,1006,1313,2
2007-01-01,1,Ciutat Vella,1,el Raval,3,1007,773,1
2007-01-01,1,Ciutat Vella,1,el Raval,3,1007,1193,2
2007-01-01,1,Ciutat Vella,1,el Raval,4,1008,1214,1
2007-01-01,1,Ciutat Vella,1,el Raval,4,1008,2093,2
2007-01-01,1,Ciutat Vella,1,el Raval,4,1009,951,1
2007-01-01,1,Ciutat Vella,1,el Raval,4,1009,1154,2
2007-01-01,1,Ciutat Vella,1,el Raval,4,1010,944,1
2007-01-01,1,Ciutat Vella,1,el Raval,4,1010,1330,2
2007-01-01,1,Ciutat Vella,1,el Raval,5,1011,1342,1
2007-01-01,1,Ciutat Vella,1,el Raval,5,1011,1919,2
2007-01-01,1,Ciutat Vella,1,el Raval,5,1012,874,1
2007-01-01,1,Ciutat Vella,1,el Raval,5,1012,956,2
2007-01-01,1,Ciutat Vella,1,el Raval,5,1013,659,1
2007-01-01,1,Ciutat Vella,1,el Raval,5,1013,649,2
2007-01-01,1,Ciutat Vella,1,el Raval,6,1014,857,1
2007-01-01,1,Ciutat Vella,1,el Raval,6,1014,865,2
2007-01-01,1,Ciutat Vella,1,el Raval,6,1015,1106,1
2007-01-01,1,Ciutat Vella,1,el Raval,6,1015,1104,2
2007-01-01,1,Ciutat Vella,1,el Raval,6,1016,1080,1
2007-01-01,1,Ciutat Vella,1,el Raval,6,1016,999,2
2007-01-01,1,Ciutat Vella,1,el Raval,6,1017,1204,1
2007-01-01,1,Ciutat Vella,1,el Raval,6,1017,1233,2
2007-01-01,1,Ciutat Vella,1,el Raval,7,1018,740,1
2007-01-01,1,Ciutat Vella,1,el Raval,7,1018,694,2
2007-01-01,1,Ciutat Vella,1,el Raval,7,1019,1326,1
2007-01-01,1,Ciutat Vella,1,el Raval,7,1019,1523,2
2007-01-01,1,Ciutat Vella,1,el Raval,7,1020,1145,1
2007-01-01,1,Ciutat Vella,1,el Raval,7,1020,944,2
2007-01-01,1,Ciutat Vella,1,el Raval,8,1021,1016,1
2007-01-01,1,Ciutat Vella,1,el Raval,8,1021,902,2
