Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST
2008,1,el Raval,3325,1
2008,1,el Raval,256,2
2008,1,el Raval,110,3
2008,1,el Raval,204,4
2008,1,el Raval,91,5
2008,1,el Raval,71,6
2008,1,el Raval,107,7
2008,1,el Raval,110,8
2008,1,el Raval,113,9
2008,1,el Raval,265,10
2008,1,el Raval,620,11
2008,1,el Raval,..,12
2008,1,el Raval,66,13
2008,1,el Raval,37,14
2008,1,el Raval,71,15
2008,1,el Raval,24,16
2008,1,el Raval,24,17
2008,1,el Raval,114,18
2008,1,el Raval,75,19
2008,1,el Raval,15,20
2008,1,el Raval,13,21
2008,1,el Raval,17,22
2008,1,el Raval,25,23
2008,1,el Raval,11,24
2008,1,el Raval,63,25
2008,1,el Raval,55,26
2008,1,el Raval,20,27
2008,1,el Raval,19,28
2008,1,el Raval,8,29
2008,1,el Raval,16,30
2008,1,el Raval,156,31
2008,1,el Raval,36,32
2008,1,el Raval,37,33
2008,1,el Raval,5,34
2008,1,el Raval,46,35
2008,1,el Raval,5,36
2008,1,el Raval,55,37
2008,1,el Raval,7,38
2008,1,el Raval,7,39
2008,1,el Raval,9,40
2008,1,el Raval,..,41
2008,1,el Raval,8,42
2008,1,el Raval,56,43
2008,1,el Raval,18,44
2008,1,el Raval,65,45
2008,1,el Raval,18,46
2008,1,el Raval,6,47
2008,1,el Raval,6,48
2008,1,el Raval,7,49
2008,1,el Raval,26,50
2008,1,el Raval,29,51
2008,1,el Raval,36,52
2008,1,el Raval,15,53
2008,1,el Raval,..,54
2008,1,el Raval,48,55
2008,1,el Raval,..,56
2008,1,el Raval,68,57
2008,1,el Raval,..,58
2008,1,el Raval,53,59
2008,1,el Raval,46,60
2008,1,el Raval,26,61
2008,1,el Raval,16,62
2008,1,el Raval,31,63
2008,1,el Raval,52,64
2008,1,el Raval,60,65
2008,1,el Raval,24,66
2008,1,el Raval,10,67
2008,1,el Raval,59,68
2008,1,el Raval,8,69
2008,1,el Raval,129,70
2008,1,el Raval,22,71
2008,1,el Raval,33,72
2008,1,el Raval,30,73
2008,2,el Barri Gòtic,432,1
2008,2,el Barri Gòtic,299,2
2008,2,el Barri Gòtic,74,3
2008,2,el Barri Gòtic,115,4
2008,2,el Barri Gòtic,62,5
2008,2,el Barri Gòtic,99,6
2008,2,el Barri Gòtic,98,7
2008,2,el Barri Gòtic,93,8
2008,2,el Barri Gòtic,72,9
2008,2,el Barri Gòtic,78,10
2008,2,el Barri Gòtic,169,11
2008,2,el Barri Gòtic,27,13
2008,2,el Barri Gòtic,26,14
2008,2,el Barri Gòtic,35,15
2008,2,el Barri Gòtic,39,16
2008,2,el Barri Gòtic,39,17
2008,2,el Barri Gòtic,89,18
2008,2,el Barri Gòtic,46,19
2008,2,el Barri Gòtic,14,20
2008,2,el Barri Gòtic,16,21
2008,2,el Barri Gòtic,7,22
2008,2,el Barri Gòtic,22,23
2008,2,el Barri Gòtic,24,24
2008,2,el Barri Gòtic,33,25
2008,2,el Barri Gòtic,56,26
2008,2,el Barri Gòtic,33,27
2008,2,el Barri Gòtic,12,28
2008,2,el Barri Gòtic,9,29
2008,2,el Barri Gòtic,11,30
2008,2,el Barri Gòtic,109,31
2008,2,el Barri Gòtic,35,32
2008,2,el Barri Gòtic,25,33
2008,2,el Barri Gòtic,12,34
2008,2,el Barri Gòtic,57,35
2008,2,el Barri Gòtic,6,36
2008,2,el Barri Gòtic,54,37
2008,2,el Barri Gòtic,8,38
2008,2,el Barri Gòtic,7,39
2008,2,el Barri Gòtic,6,40
2008,2,el Barri Gòtic,..,41
2008,2,el Barri Gòtic,5,42
2008,2,el Barri Gòtic,27,43
2008,2,el Barri Gòtic,34,44
2008,2,el Barri Gòtic,51,45
2008,2,el Barri Gòtic,58,46
2008,2,el Barri Gòtic,..,47
2008,2,el Barri Gòtic,15,48
2008,2,el Barri Gòtic,..,49
2008,2,el Barri Gòtic,42,50
2008,2,el Barri Gòtic,25,51
2008,2,el Barri Gòtic,40,52
2008,2,el Barri Gòtic,18,53
2008,2,el Barri Gòtic,..,54
2008,2,el Barri Gòtic,42,55
2008,2,el Barri Gòtic,..,56
2008,2,el Barri Gòtic,33,57
2008,2,el Barri Gòtic,..,58
2008,2,el Barri Gòtic,25,59
2008,2,el Barri Gòtic,50,60
2008,2,el Barri Gòtic,37,61
2008,2,el Barri Gòtic,9,62
2008,2,el Barri Gòtic,21,63
2008,2,el Barri Gòtic,61,64
2008,2,el Barri Gòtic,35,65
2008,2,el Barri Gòtic,42,66
2008,2,el Barri Gòtic,9,67
2008,2,el Barri Gòtic,37,68
2008,2,el Barri Gòtic,5,69
2008,2,el Barri Gòtic,58,70
2008,2,el Barri Gòtic,29,71
2008,2,el Barri Gòtic,47,72
2008,2,el Barri Gòtic,17,73
2008,3,la Barceloneta,96,1
2008,3,la Barceloneta,40,2
2008,3,la Barceloneta,482,3
2008,3,la Barceloneta,65,4
2008,3,la Barceloneta,32,5
2008,3,la Barceloneta,25,6
2008,3,la Barceloneta,29,7
2008,3,la Barceloneta,9,8
2008,3,la Barceloneta,23,9
2008,3,la Barceloneta,18,10
2008,3,la Barceloneta,60,11
2008,3,la Barceloneta,16,13
2008,3,la Barceloneta,..,14
2008,3,la Barceloneta,6,15
2008,3,la Barceloneta,..,16
2008,3,la Barceloneta,13,17
2008,3,la Barceloneta,19,18
2008,3,la Barceloneta,7,19
2008,3,la Barceloneta,8,20
2008,3,la Barceloneta,..,21
2008,3,la Barceloneta,..,23
2008,3,la Barceloneta,..,24
2008,3,la Barceloneta,..,25
2008,3,la Barceloneta,8,26
2008,3,la Barceloneta,10,27
2008,3,la Barceloneta,6,28
2008,3,la Barceloneta,..,29
2008,3,la Barceloneta,..,30
2008,3,la Barceloneta,34,31
2008,3,la Barceloneta,10,32
2008,3,la Barceloneta,6,33
2008,3,la Barceloneta,..,34
2008,3,la Barceloneta,16,35
2008,3,la Barceloneta,..,36
2008,3,la Barceloneta,12,37
2008,3,la Barceloneta,..,38
2008,3,la Barceloneta,..,39
2008,3,la Barceloneta,..,41
2008,3,la Barceloneta,18,43
2008,3,la Barceloneta,11,44
2008,3,la Barceloneta,7,45
2008,3,la Barceloneta,..,46
2008,3,la Barceloneta,..,47
2008,3,la Barceloneta,..,48
2008,3,la Barceloneta,..,49
2008,3,la Barceloneta,6,50
2008,3,la Barceloneta,..,51
2008,3,la Barceloneta,13,52
2008,3,la Barceloneta,..,53
2008,3,la Barceloneta,5,55
2008,3,la Barceloneta,..,57
2008,3,la Barceloneta,6,58
2008,3,la Barceloneta,9,59
2008,3,la Barceloneta,24,60
2008,3,la Barceloneta,10,61
2008,3,la Barceloneta,6,62
2008,3,la Barceloneta,7,63
2008,3,la Barceloneta,17,64
2008,3,la Barceloneta,23,65
2008,3,la Barceloneta,24,66
2008,3,la Barceloneta,13,67
2008,3,la Barceloneta,24,68
2008,3,la Barceloneta,15,69
2008,3,la Barceloneta,21,70
2008,3,la Barceloneta,8,71
2008,3,la Barceloneta,17,72
2008,3,la Barceloneta,9,73
2008,4,"Sant Pere, Santa Caterina i la Ribera",160,1
2008,4,"Sant Pere, Santa Caterina i la Ribera",110,2
2008,4,"Sant Pere, Santa Caterina i la Ribera",84,3
2008,4,"Sant Pere, Santa Caterina i la Ribera",447,4
2008,4,"Sant Pere, Santa Caterina i la Ribera",66,5
2008,4,"Sant Pere, Santa Caterina i la Ribera",57,6
2008,4,"Sant Pere, Santa Caterina i la Ribera",106,7
2008,4,"Sant Pere, Santa Caterina i la Ribera",44,8
2008,4,"Sant Pere, Santa Caterina i la Ribera",38,9
2008,4,"Sant Pere, Santa Caterina i la Ribera",54,10
2008,4,"Sant Pere, Santa Caterina i la Ribera",75,11
2008,4,"Sant Pere, Santa Caterina i la Ribera",15,13
2008,4,"Sant Pere, Santa Caterina i la Ribera",11,14
2008,4,"Sant Pere, Santa Caterina i la Ribera",8,15
2008,4,"Sant Pere, Santa Caterina i la Ribera",8,16
2008,4,"Sant Pere, Santa Caterina i la Ribera",8,17
2008,4,"Sant Pere, Santa Caterina i la Ribera",36,18
2008,4,"Sant Pere, Santa Caterina i la Ribera",29,19
2008,4,"Sant Pere, Santa Caterina i la Ribera",9,20
