Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST
2007,1,el Raval,3104,1
2007,1,el Raval,193,2
2007,1,el Raval,86,3
2007,1,el Raval,166,4
2007,1,el Raval,80,5
2007,1,el Raval,54,6
2007,1,el Raval,74,7
2007,1,el Raval,81,8
2007,1,el Raval,103,9
2007,1,el Raval,254,10
2007,1,el Raval,632,11
2007,1,el Raval,..,12
2007,1,el Raval,64,13
2007,1,el Raval,32,14
2007,1,el Raval,39,15
2007,1,el Raval,29,16
2007,1,el Raval,60,17
2007,1,el Raval,79,18
2007,1,el Raval,65,19
2007,1,el Raval,13,20
2007,1,el Raval,..,21
2007,1,el Raval,8,22
2007,1,el Raval,11,23
2007,1,el Raval,..,24
2007,1,el Raval,36,25
2007,1,el Raval,31,26
2007,1,el Raval,32,27
2007,1,el Raval,19,28
2007,1,el Raval,7,29
2007,1,el Raval,7,30
2007,1,el Raval,133,31
2007,1,el Raval,45,32
2007,1,el Raval,38,33
2007,1,el Raval,12,34
2007,1,el Raval,43,35
2007,1,el Raval,8,36
2007,1,el Raval,16,37
2007,1,el Raval,13,38
2007,1,el Raval,8,39
2007,1,el Raval,6,40
2007,1,el Raval,6,41
2007,1,el Raval,..,42
2007,1,el Raval,48,43
2007,1,el Raval,17,44
2007,1,el Raval,48,45
2007,1,el Raval,8,46
2007,1,el Raval,7,48
2007,1,el Raval,..,49
2007,1,el Raval,24,50
2007,1,el Raval,12,51
2007,1,el Raval,24,52
2007,1,el Raval,12,53
2007,1,el Raval,..,54
2007,1,el Raval,28,55
2007,1,el Raval,..,56
2007,1,el Raval,48,57
2007,1,el Raval,23,59
2007,1,el Raval,42,60
2007,1,el Raval,21,61
2007,1,el Raval,33,62
2007,1,el Raval,34,63
2007,1,el Raval,53,64
2007,1,el Raval,31,65
2007,1,el Raval,17,66
2007,1,el Raval,8,67
2007,1,el Raval,65,68
2007,1,el Raval,13,69
2007,1,el Raval,96,70
2007,1,el Raval,18,71
2007,1,el Raval,37,72
2007,1,el Raval,25,73
2007,2,el Barri Gòtic,496,1
2007,2,el Barri Gòtic,288,2
2007,2,el Barri Gòtic,83,3
2007,2,el Barri Gòtic,163,4
2007,2,el Barri Gòtic,59,5
2007,2,el Barri Gòtic,112,6
2007,2,el Barri Gòtic,104,7
2007,2,el Barri Gòtic,72,8
2007,2,el Barri Gòtic,113,9
2007,2,el Barri Gòtic,84,10
2007,2,el Barri Gòtic,153,11
2007,2,el Barri Gòtic,45,13
2007,2,el Barri Gòtic,35,14
2007,2,el Barri Gòtic,74,15
2007,2,el Barri Gòtic,39,16
2007,2,el Barri Gòtic,61,17
2007,2,el Barri Gòtic,116,18
2007,2,el Barri Gòtic,51,19
2007,2,el Barri Gòtic,38,20
2007,2,el Barri Gòtic,11,21
2007,2,el Barri Gòtic,5,22
2007,2,el Barri Gòtic,25,23
2007,2,el Barri Gòtic,18,24
2007,2,el Barri Gòtic,35,25
2007,2,el Barri Gòtic,42,26
2007,2,el Barri Gòtic,24,27
2007,2,el Barri Gòtic,21,28
2007,2,el Barri Gòtic,5,29
2007,2,el Barri Gòtic,13,30
2007,2,el Barri Gòtic,121,31
2007,2,el Barri Gòtic,42,32
2007,2,el Barri Gòtic,48,33
2007,2,el Barri Gòtic,11,34
2007,2,el Barri Gòtic,70,35
2007,2,el Barri Gòtic,6,36
2007,2,el Barri Gòtic,76,37
2007,2,el Barri Gòtic,18,38
2007,2,el Barri Gòtic,..,39
2007,2,el Barri Gòtic,9,40
2007,2,el Barri Gòtic,..,41
2007,2,el Barri Gòtic,37,43
2007,2,el Barri Gòtic,44,44
2007,2,el Barri Gòtic,39,45
2007,2,el Barri Gòtic,56,46
2007,2,el Barri Gòtic,..,47
2007,2,el Barri Gòtic,22,48
2007,2,el Barri Gòtic,6,49
2007,2,el Barri Gòtic,32,50
2007,2,el Barri Gòtic,30,51
2007,2,el Barri Gòtic,21,52
2007,2,el Barri Gòtic,12,53
2007,2,el Barri Gòtic,10,54
2007,2,el Barri Gòtic,33,55
2007,2,el Barri Gòtic,..,56
2007,2,el Barri Gòtic,23,57
2007,2,el Barri Gòtic,..,58
2007,2,el Barri Gòtic,38,59
2007,2,el Barri Gòtic,72,60
2007,2,el Barri Gòtic,40,61
2007,2,el Barri Gòtic,27,62
2007,2,el Barri Gòtic,27,63
2007,2,el Barri Gòtic,72,64
2007,2,el Barri Gòtic,45,65
2007,2,el Barri Gòtic,37,66
2007,2,el Barri Gòtic,12,67
2007,2,el Barri Gòtic,68,68
2007,2,el Barri Gòtic,..,69
2007,2,el Barri Gòtic,74,70
2007,2,el Barri Gòtic,30,71
2007,2,el Barri Gòtic,48,72
2007,2,el Barri Gòtic,30,73
2007,3,la Barceloneta,75,1
2007,3,la Barceloneta,36,2
2007,3,la Barceloneta,506,3
2007,3,la Barceloneta,47,4
2007,3,la Barceloneta,19,5
2007,3,la Barceloneta,18,6
2007,3,la Barceloneta,28,7
2007,3,la Barceloneta,20,8
2007,3,la Barceloneta,14,9
2007,3,la Barceloneta,18,10
2007,3,la Barceloneta,49,11
2007,3,la Barceloneta,..,13
2007,3,la Barceloneta,5,14
2007,3,la Barceloneta,5,15
2007,3,la Barceloneta,6,16
2007,3,la Barceloneta,7,17
2007,3,la Barceloneta,19,18
2007,3,la Barceloneta,8,19
2007,3,la Barceloneta,..,20
2007,3,la Barceloneta,..,22
2007,3,la Barceloneta,..,24
2007,3,la Barceloneta,6,25
2007,3,la Barceloneta,10,26
2007,3,la Barceloneta,12,27
2007,3,la Barceloneta,6,28
2007,3,la Barceloneta,..,29
2007,3,la Barceloneta,9,30
2007,3,la Barceloneta,24,31
2007,3,la Barceloneta,11,32
2007,3,la Barceloneta,..,33
2007,3,la Barceloneta,6,34
2007,3,la Barceloneta,12,35
2007,3,la Barceloneta,..,36
2007,3,la Barceloneta,6,37
2007,3,la Barceloneta,..,38
2007,3,la Barceloneta,..,39
2007,3,la Barceloneta,..,40
2007,3,la Barceloneta,9,43
2007,3,la Barceloneta,7,44
2007,3,la Barceloneta,10,45
2007,3,la Barceloneta,..,46
2007,3,la Barceloneta,..,48
2007,3,la Barceloneta,..,49
2007,3,la Barceloneta,8,50
2007,3,la Barceloneta,6,51
2007,3,la Barceloneta,..,52
2007,3,la Barceloneta,7,53
2007,3,la Barceloneta,..,54
2007,3,la Barceloneta,7,55
2007,3,la Barceloneta,..,56
2007,3,la Barceloneta,..,57
2007,3,la Barceloneta,..,58
2007,3,la Barceloneta,7,59
2007,3,la Barceloneta,18,60
2007,3,la Barceloneta,5,61
2007,3,la Barceloneta,5,62
2007,3,la Barceloneta,..,63
2007,3,la Barceloneta,18,64
2007,3,la Barceloneta,13,65
2007,3,la Barceloneta,..,66
2007,3,la Barceloneta,13,67
2007,3,la Barceloneta,31,68
2007,3,la Barceloneta,7,69
2007,3,la Barceloneta,32,70
2007,3,la Barceloneta,11,71
2007,3,la Barceloneta,7,72
2007,3,la Barceloneta,5,73
2007,4,"Sant Pere, Santa Caterina i la Ribera",198,1
2007,4,"Sant Pere, Santa Caterina i la Ribera",106,2
2007,4,"Sant Pere, Santa Caterina i la Ribera",60,3
2007,4,"Sant Pere, Santa Caterina i la Ribera",433,4
2007,4,"Sant Pere, Santa Caterina i la Ribera",62,5
2007,4,"Sant Pere, Santa Caterina i la Ribera",49,6
2007,4,"Sant Pere, Santa Caterina i la Ribera",103,7
2007,4,"Sant Pere, Santa Caterina i la Ribera",42,8
2007,4,"Sant Pere, Santa Caterina i la Ribera",68,9
2007,4,"Sant Pere, Santa Caterina i la Ribera",55,10
2007,4,"Sant Pere, Santa Caterina i la Ribera",84,11
2007,4,"Sant Pere, Santa Caterina i la Ribera",13,13
2007,4,"Sant Pere, Santa Caterina i la Ribera",5,14
2007,4,"Sant Pere, Santa Caterina i la Ribera",31,15
2007,4,"Sant Pere, Santa Caterina i la Ribera",..,16
2007,4,"Sant Pere, Santa Caterina i la Ribera",13,17
2007,4,"Sant Pere, Santa Caterina i la Ribera",32,18
2007,4,"Sant Pere, Santa Caterina i la Ribera",24,19
2007,4,"Sant Pere, Santa Caterina i la Ribera",7,20
2007,4,"Sant Pere, Santa Caterina i la Ribera",..,21
2007,4,"Sant Pere, Santa Caterina i la Ribera",..,22
2007,4,"Sant Pere, Santa Caterina i la Ribera",12,23
2007,4,"Sant Pere, Santa Caterina i la Ribera",5,24
2007,4,"Sant Pere, Santa Caterina i la Ribera",14,25
2007,4,"Sant Pere, Santa Caterina i la Ribera",18,26
2007,4,"Sant Pere, Santa Caterina i la Ribera",16,27
2007,4,"Sant Pere, Santa Caterina i la Ribera",8,28
2007,4,"Sant Pere, Santa Caterina i la Ribera",..,29
2007,4,"Sant Pere, Santa Caterina i la Ribera",9,30
2007,4,"Sant Pere, Santa Caterina i la Ribera",86,31
2007,4,"Sant Pere, Santa Caterina i la Ribera",22,32
2007,4,"Sant Pere, Santa Caterina i la Ribera",10,33
2007,4,"Sant Pere, Santa Caterina i la Ribera",7,34
2007,4,"Sant Pere, Santa Caterina i la Ribera",22,35
2007,4,"Sant Pere, Santa Caterina i la Ribera",..,36
2007,4,"Sant Pere, Santa Caterina i la Ribera",23,37
2007,4,"Sant Pere, Santa Caterina i la Ribera",..,38
2007,4,"Sant Pere, Santa Caterina i la Ribera",..,39
2007,4,"Sant Pere, Santa Caterina i la Ribera",..,40
2007,4,"Sant Pere, Santa Caterina i la Ribera",14,43
2007,4,"Sant Pere, Santa Caterina i la Ribera",7,44
2007,4,"Sant Pere, Santa Caterina i la Ribera",17,45
2007,4,"Sant Pere, Santa Caterina i la Ribera",5,46
2007,4,"Sant Pere, Santa Caterina i la Ribera",..,47
2007,4,"Sant Pere, Santa Caterina i la Ribera",..,48
2007,4,"Sant Pere, Santa Caterina i la Ribera",..,49
2007,4,"Sant Pere, Santa Caterina i la Ribera",12,50
2007,4,"Sant Pere, Santa Caterina i la Ribera",5,51
2007,4,"Sant Pere, Santa Caterina i la Ribera",17,52
2007,4,"Sant Pere, Santa Caterina i la Ribera",10,53
2007,4,"Sant Pere, Santa Caterina i la Ribera",..,54
2007,4,"Sant Pere, Santa Caterina i la Ribera",12,55
2007,4,"Sant Pere, Santa Caterina i la Ribera",9,57
2007,4,"Sant Pere, Santa Caterina i la Ribera",8,58
2007,4,"Sant Pere, Santa Caterina i la Ribera",8,59
2007,4,"Sant Pere, Santa Caterina i la Ribera",25,60
2007,4,"Sant Pere, Santa Caterina i la Ribera",..,61
2007,4,"Sant Pere, Santa Caterina i la Ribera",7,62
2007,4,"Sant Pere, Santa Caterina i la Ribera",19,63
2007,4,"Sant Pere, Santa Caterina i la Ribera",22,64
2007,4,"Sant Pere, Santa Caterina i la Ribera",22,65
2007,4,"Sant Pere, Santa Caterina i la Ribera",35,66
2007,4,"Sant Pere, Santa Caterina i la Ribera",14,67
2007,4,"Sant Pere, Santa Caterina i la Ribera",43,68
2007,4,"Sant Pere, Santa Caterina i la Ribera",22,69
2007,4,"Sant Pere, Santa Caterina i la Ribera",24,70
2007,4,"Sant Pere, Santa Caterina i la Ribera",..,71
2007,4,"Sant Pere, Santa Caterina i la Ribera",9,72
2007,4,"Sant Pere, Santa Caterina i la Ribera",13,73
2007,5,el Fort Pienc,47,1
2007,5,el Fort Pienc,17,2
2007,5,el Fort Pienc,16,3
2007,5,el Fort Pienc,47,4
2007,5,el Fort Pienc,356,5
2007,5,el Fort Pienc,109,6
2007,5,el Fort Pienc,133,7
2007,5,el Fort Pienc,59,8
2007,5,el Fort Pienc,46,9
2007,5,el Fort Pienc,44,10
2007,5,el Fort Pienc,43,11
2007,5,el Fort Pienc,5,13
2007,5,el Fort Pienc,..,14
2007,5,el Fort Pienc,10,15
2007,5,el Fort Pienc,14,16
2007,5,el Fort Pienc,14,17
2007,5,el Fort Pienc,31,18
2007,5,el Fort Pienc,13,19
2007,5,el Fort Pienc,14,20
2007,5,el Fort Pienc,18,21
2007,5,el Fort Pienc,..,22
2007,5,el Fort Pienc,7,23
2007,5,el Fort Pienc,..,24
2007,5,el Fort Pienc,8,25
2007,5,el Fort Pienc,32,26
2007,5,el Fort Pienc,16,27
2007,5,el Fort Pienc,5,28
2007,5,el Fort Pienc,7,29
2007,5,el Fort Pienc,8,30
2007,5,el Fort Pienc,45,31
2007,5,el Fort Pienc,45,32
2007,5,el Fort Pienc,18,33
2007,5,el Fort Pienc,7,34
2007,5,el Fort Pienc,20,35
2007,5,el Fort Pienc,..,36
2007,5,el Fort Pienc,18,37
2007,5,el Fort Pienc,6,38
2007,5,el Fort Pienc,..,39
2007,5,el Fort Pienc,..,40
2007,5,el Fort Pienc,..,41
2007,5,el Fort Pienc,..,42
2007,5,el Fort Pienc,12,43
2007,5,el Fort Pienc,8,44
2007,5,el Fort Pienc,11,45
2007,5,el Fort Pienc,..,46
2007,5,el Fort Pienc,5,48
2007,5,el Fort Pienc,..,49
2007,5,el Fort Pienc,12,50
2007,5,el Fort Pienc,..,51
2007,5,el Fort Pienc,16,52
2007,5,el Fort Pienc,..,53
2007,5,el Fort Pienc,..,55
2007,5,el Fort Pienc,5,56
2007,5,el Fort Pienc,8,57
2007,5,el Fort Pienc,5,58
2007,5,el Fort Pienc,..,59
2007,5,el Fort Pienc,29,60
2007,5,el Fort Pienc,38,61
2007,5,el Fort Pienc,..,62
2007,5,el Fort Pienc,31,63
2007,5,el Fort Pienc,46,64
2007,5,el Fort Pienc,29,65
2007,5,el Fort Pienc,47,66
2007,5,el Fort Pienc,16,67
2007,5,el Fort Pienc,33,68
2007,5,el Fort Pienc,10,69
2007,5,el Fort Pienc,32,70
2007,5,el Fort Pienc,19,71
2007,5,el Fort Pienc,26,72
2007,5,el Fort Pienc,22,73
2007,6,la Sagrada Família,67,1
2007,6,la Sagrada Família,23,2
