Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST
2005,1,el Raval,3172,1
2005,1,el Raval,243,2
2005,1,el Raval,78,3
2005,1,el Raval,205,4
2005,1,el Raval,55,5
2005,1,el Raval,84,6
2005,1,el Raval,78,7
2005,1,el Raval,108,8
2005,1,el Raval,107,9
2005,1,el Raval,292,10
2005,1,el Raval,692,11
2005,1,el Raval,..,12
2005,1,el Raval,108,13
2005,1,el Raval,16,14
2005,1,el Raval,72,15
2005,1,el Raval,31,16
2005,1,el Raval,48,17
2005,1,el Raval,83,18
2005,1,el Raval,27,19
2005,1,el Raval,27,20
2005,1,el Raval,5,21
2005,1,el Raval,9,22
2005,1,el Raval,15,23
2005,1,el Raval,9,24
2005,1,el Raval,16,25
2005,1,el Raval,24,26
2005,1,el Raval,22,27
2005,1,el Raval,28,28
2005,1,el Raval,15,29
2005,1,el Raval,19,30
2005,1,el Raval,99,31
2005,1,el Raval,58,32
2005,1,el Raval,20,33
2005,1,el Raval,13,34
2005,1,el Raval,24,35
2005,1,el Raval,..,36
2005,1,el Raval,31,37
2005,1,el Raval,20,38
2005,1,el Raval,5,39
2005,1,el Raval,..,40
2005,1,el Raval,..,41
2005,1,el Raval,..,42
2005,1,el Raval,24,43
2005,1,el Raval,22,44
2005,1,el Raval,31,45
2005,1,el Raval,15,46
2005,1,el Raval,..,47
2005,1,el Raval,15,48
2005,1,el Raval,5,49
2005,1,el Raval,33,50
2005,1,el Raval,12,51
2005,1,el Raval,47,52
2005,1,el Raval,18,53
2005,1,el Raval,10,54
2005,1,el Raval,47,55
2005,1,el Raval,10,56
2005,1,el Raval,85,57
2005,1,el Raval,..,58
2005,1,el Raval,5,59
2005,1,el Raval,48,60
2005,1,el Raval,32,61
2005,1,el Raval,..,62
2005,1,el Raval,20,63
2005,1,el Raval,65,64
2005,1,el Raval,45,65
2005,1,el Raval,30,66
2005,1,el Raval,11,67
2005,1,el Raval,47,68
2005,1,el Raval,11,69
2005,1,el Raval,105,70
2005,1,el Raval,26,71
2005,1,el Raval,36,72
2005,1,el Raval,31,73
2005,2,el Barri Gòtic,644,1
2005,2,el Barri Gòtic,410,2
2005,2,el Barri Gòtic,91,3
2005,2,el Barri Gòtic,232,4
2005,2,el Barri Gòtic,90,5
2005,2,el Barri Gòtic,133,6
2005,2,el Barri Gòtic,106,7
2005,2,el Barri Gòtic,83,8
2005,2,el Barri Gòtic,139,9
2005,2,el Barri Gòtic,127,10
2005,2,el Barri Gòtic,331,11
2005,2,el Barri Gòtic,44,13
2005,2,el Barri Gòtic,91,14
2005,2,el Barri Gòtic,55,15
2005,2,el Barri Gòtic,34,16
2005,2,el Barri Gòtic,66,17
2005,2,el Barri Gòtic,154,18
2005,2,el Barri Gòtic,61,19
2005,2,el Barri Gòtic,31,20
2005,2,el Barri Gòtic,10,21
2005,2,el Barri Gòtic,8,22
2005,2,el Barri Gòtic,29,23
2005,2,el Barri Gòtic,16,24
2005,2,el Barri Gòtic,24,25
2005,2,el Barri Gòtic,61,26
2005,2,el Barri Gòtic,40,27
2005,2,el Barri Gòtic,41,28
2005,2,el Barri Gòtic,6,29
2005,2,el Barri Gòtic,22,30
2005,2,el Barri Gòtic,160,31
2005,2,el Barri Gòtic,76,32
2005,2,el Barri Gòtic,56,33
2005,2,el Barri Gòtic,22,34
2005,2,el Barri Gòtic,71,35
2005,2,el Barri Gòtic,13,36
2005,2,el Barri Gòtic,99,37
2005,2,el Barri Gòtic,18,38
2005,2,el Barri Gòtic,..,39
2005,2,el Barri Gòtic,5,40
2005,2,el Barri Gòtic,6,41
2005,2,el Barri Gòtic,..,42
2005,2,el Barri Gòtic,56,43
2005,2,el Barri Gòtic,59,44
2005,2,el Barri Gòtic,50,45
2005,2,el Barri Gòtic,80,46
2005,2,el Barri Gòtic,..,47
2005,2,el Barri Gòtic,14,48
2005,2,el Barri Gòtic,7,49
2005,2,el Barri Gòtic,43,50
2005,2,el Barri Gòtic,28,51
2005,2,el Barri Gòtic,44,52
2005,2,el Barri Gòtic,22,53
2005,2,el Barri Gòtic,7,54
2005,2,el Barri Gòtic,60,55
2005,2,el Barri Gòtic,7,56
2005,2,el Barri Gòtic,50,57
2005,2,el Barri Gòtic,..,58
2005,2,el Barri Gòtic,22,59
2005,2,el Barri Gòtic,64,60
2005,2,el Barri Gòtic,54,61
2005,2,el Barri Gòtic,45,62
2005,2,el Barri Gòtic,23,63
2005,2,el Barri Gòtic,90,64
2005,2,el Barri Gòtic,43,65
2005,2,el Barri Gòtic,57,66
2005,2,el Barri Gòtic,26,67
2005,2,el Barri Gòtic,78,68
2005,2,el Barri Gòtic,12,69
2005,2,el Barri Gòtic,86,70
2005,2,el Barri Gòtic,42,71
2005,2,el Barri Gòtic,55,72
2005,2,el Barri Gòtic,34,73
2005,3,la Barceloneta,64,1
2005,3,la Barceloneta,42,2
2005,3,la Barceloneta,548,3
2005,3,la Barceloneta,60,4
2005,3,la Barceloneta,21,5
2005,3,la Barceloneta,16,6
2005,3,la Barceloneta,12,7
2005,3,la Barceloneta,17,8
2005,3,la Barceloneta,34,9
2005,3,la Barceloneta,15,10
2005,3,la Barceloneta,48,11
2005,3,la Barceloneta,5,13
2005,3,la Barceloneta,..,14
2005,3,la Barceloneta,..,15
2005,3,la Barceloneta,6,16
2005,3,la Barceloneta,5,17
2005,3,la Barceloneta,24,18
2005,3,la Barceloneta,7,19
2005,3,la Barceloneta,..,20
2005,3,la Barceloneta,..,22
2005,3,la Barceloneta,..,23
2005,3,la Barceloneta,..,25
2005,3,la Barceloneta,15,26
2005,3,la Barceloneta,7,27
2005,3,la Barceloneta,..,28
2005,3,la Barceloneta,..,29
2005,3,la Barceloneta,..,30
2005,3,la Barceloneta,19,31
2005,3,la Barceloneta,17,32
2005,3,la Barceloneta,17,33
2005,3,la Barceloneta,9,35
2005,3,la Barceloneta,..,36
2005,3,la Barceloneta,7,37
2005,3,la Barceloneta,7,38
2005,3,la Barceloneta,..,39
2005,3,la Barceloneta,..,40
2005,3,la Barceloneta,9,43
2005,3,la Barceloneta,8,44
2005,3,la Barceloneta,7,45
2005,3,la Barceloneta,6,46
2005,3,la Barceloneta,..,48
2005,3,la Barceloneta,15,50
2005,3,la Barceloneta,..,51
2005,3,la Barceloneta,..,52
2005,3,la Barceloneta,..,53
2005,3,la Barceloneta,7,55
2005,3,la Barceloneta,..,56
2005,3,la Barceloneta,13,57
2005,3,la Barceloneta,8,58
2005,3,la Barceloneta,5,59
2005,3,la Barceloneta,22,60
2005,3,la Barceloneta,11,61
2005,3,la Barceloneta,..,62
2005,3,la Barceloneta,..,63
2005,3,la Barceloneta,12,64
2005,3,la Barceloneta,14,65
2005,3,la Barceloneta,25,66
2005,3,la Barceloneta,7,67
2005,3,la Barceloneta,29,68
2005,3,la Barceloneta,12,69
2005,3,la Barceloneta,41,70
2005,3,la Barceloneta,9,71
2005,3,la Barceloneta,15,72
2005,3,la Barceloneta,12,73
2005,4,"Sant Pere, Santa Caterina i la Ribera",166,1
2005,4,"Sant Pere, Santa Caterina i la Ribera",109,2
2005,4,"Sant Pere, Santa Caterina i la Ribera",76,3
2005,4,"Sant Pere, Santa Caterina i la Ribera",618,4
2005,4,"Sant Pere, Santa Caterina i la Ribera",76,5
2005,4,"Sant Pere, Santa Caterina i la Ribera",38,6
2005,4,"Sant Pere, Santa Caterina i la Ribera",79,7
2005,4,"Sant Pere, Santa Caterina i la Ribera",46,8
2005,4,"Sant Pere, Santa Caterina i la Ribera",37,9
2005,4,"Sant Pere, Santa Caterina i la Ribera",49,10
2005,4,"Sant Pere, Santa Caterina i la Ribera",97,11
2005,4,"Sant Pere, Santa Caterina i la Ribera",10,13
2005,4,"Sant Pere, Santa Caterina i la Ribera",5,14
2005,4,"Sant Pere, Santa Caterina i la Ribera",16,15
2005,4,"Sant Pere, Santa Caterina i la Ribera",20,16
2005,4,"Sant Pere, Santa Caterina i la Ribera",7,17
2005,4,"Sant Pere, Santa Caterina i la Ribera",31,18
2005,4,"Sant Pere, Santa Caterina i la Ribera",27,19
2005,4,"Sant Pere, Santa Caterina i la Ribera",5,20
2005,4,"Sant Pere, Santa Caterina i la Ribera",..,21
2005,4,"Sant Pere, Santa Caterina i la Ribera",7,22
2005,4,"Sant Pere, Santa Caterina i la Ribera",15,23
2005,4,"Sant Pere, Santa Caterina i la Ribera",13,24
2005,4,"Sant Pere, Santa Caterina i la Ribera",..,25
2005,4,"Sant Pere, Santa Caterina i la Ribera",20,26
2005,4,"Sant Pere, Santa Caterina i la Ribera",23,27
2005,4,"Sant Pere, Santa Caterina i la Ribera",19,28
2005,4,"Sant Pere, Santa Caterina i la Ribera",6,29
2005,4,"Sant Pere, Santa Caterina i la Ribera",8,30
2005,4,"Sant Pere, Santa Caterina i la Ribera",62,31
2005,4,"Sant Pere, Santa Caterina i la Ribera",30,32
2005,4,"Sant Pere, Santa Caterina i la Ribera",15,33
2005,4,"Sant Pere, Santa Caterina i la Ribera",6,34
2005,4,"Sant Pere, Santa Caterina i la Ribera",13,35
2005,4,"Sant Pere, Santa Caterina i la Ribera",..,36
2005,4,"Sant Pere, Santa Caterina i la Ribera",10,37
2005,4,"Sant Pere, Santa Caterina i la Ribera",9,38
2005,4,"Sant Pere, Santa Caterina i la Ribera",..,39
2005,4,"Sant Pere, Santa Caterina i la Ribera",..,40
2005,4,"Sant Pere, Santa Caterina i la Ribera",..,41
2005,4,"Sant Pere, Santa Caterina i la Ribera",15,43
2005,4,"Sant Pere, Santa Caterina i la Ribera",16,44
2005,4,"Sant Pere, Santa Caterina i la Ribera",9,45
2005,4,"Sant Pere, Santa Caterina i la Ribera",11,46
2005,4,"Sant Pere, Santa Caterina i la Ribera",..,47
2005,4,"Sant Pere, Santa Caterina i la Ribera",8,48
2005,4,"Sant Pere, Santa Caterina i la Ribera",..,49
2005,4,"Sant Pere, Santa Caterina i la Ribera",8,50
2005,4,"Sant Pere, Santa Caterina i la Ribera",6,51
2005,4,"Sant Pere, Santa Caterina i la Ribera",13,52
2005,4,"Sant Pere, Santa Caterina i la Ribera",11,53
2005,4,"Sant Pere, Santa Caterina i la Ribera",..,54
2005,4,"Sant Pere, Santa Caterina i la Ribera",19,55
2005,4,"Sant Pere, Santa Caterina i la Ribera",7,56
2005,4,"Sant Pere, Santa Caterina i la Ribera",24,57
2005,4,"Sant Pere, Santa Caterina i la Ribera",7,58
2005,4,"Sant Pere, Santa Caterina i la Ribera",11,59
2005,4,"Sant Pere, Santa Caterina i la Ribera",21,60
2005,4,"Sant Pere, Santa Caterina i la Ribera",15,61
2005,4,"Sant Pere, Santa Caterina i la Ribera",9,62
2005,4,"Sant Pere, Santa Caterina i la Ribera",13,63
2005,4,"Sant Pere, Santa Caterina i la Ribera",40,64
2005,4,"Sant Pere, Santa Caterina i la Ribera",32,65
2005,4,"Sant Pere, Santa Caterina i la Ribera",50,66
2005,4,"Sant Pere, Santa Caterina i la Ribera",10,67
2005,4,"Sant Pere, Santa Caterina i la Ribera",50,68
2005,4,"Sant Pere, Santa Caterina i la Ribera",8,69
2005,4,"Sant Pere, Santa Caterina i la Ribera",31,70
2005,4,"Sant Pere, Santa Caterina i la Ribera",13,71
2005,4,"Sant Pere, Santa Caterina i la Ribera",7,72
2005,4,"Sant Pere, Santa Caterina i la Ribera",9,73
2005,5,el Fort Pienc,47,1
2005,5,el Fort Pienc,23,2
2005,5,el Fort Pienc,18,3
2005,5,el Fort Pienc,58,4
2005,5,el Fort Pienc,478,5
2005,5,el Fort Pienc,120,6
2005,5,el Fort Pienc,114,7
2005,5,el Fort Pienc,36,8
2005,5,el Fort Pienc,48,9
2005,5,el Fort Pienc,36,10
2005,5,el Fort Pienc,39,11
2005,5,el Fort Pienc,..,12
2005,5,el Fort Pienc,5,13
2005,5,el Fort Pienc,..,14
2005,5,el Fort Pienc,17,15
2005,5,el Fort Pienc,..,16
2005,5,el Fort Pienc,8,17
2005,5,el Fort Pienc,34,18
2005,5,el Fort Pienc,27,19
2005,5,el Fort Pienc,9,20
2005,5,el Fort Pienc,..,21
2005,5,el Fort Pienc,5,23
2005,5,el Fort Pienc,9,24
2005,5,el Fort Pienc,5,25
2005,5,el Fort Pienc,13,26
2005,5,el Fort Pienc,16,27
2005,5,el Fort Pienc,18,28
2005,5,el Fort Pienc,..,29
2005,5,el Fort Pienc,5,30
2005,5,el Fort Pienc,43,31
2005,5,el Fort Pienc,41,32
2005,5,el Fort Pienc,21,33
2005,5,el Fort Pienc,12,34
2005,5,el Fort Pienc,13,35
2005,5,el Fort Pienc,..,36
2005,5,el Fort Pienc,18,37
2005,5,el Fort Pienc,5,38
2005,5,el Fort Pienc,..,39
2005,5,el Fort Pienc,..,40
2005,5,el Fort Pienc,14,43
2005,5,el Fort Pienc,6,44
2005,5,el Fort Pienc,16,45
2005,5,el Fort Pienc,..,46
2005,5,el Fort Pienc,..,48
2005,5,el Fort Pienc,..,49
2005,5,el Fort Pienc,..,50
2005,5,el Fort Pienc,..,51
2005,5,el Fort Pienc,14,52
2005,5,el Fort Pienc,9,53
2005,5,el Fort Pienc,..,54
2005,5,el Fort Pienc,16,55
2005,5,el Fort Pienc,..,56
2005,5,el Fort Pienc,6,57
2005,5,el Fort Pienc,..,59
2005,5,el Fort Pienc,23,60
2005,5,el Fort Pienc,30,61
2005,5,el Fort Pienc,9,62
2005,5,el Fort Pienc,13,63
2005,5,el Fort Pienc,49,64
2005,5,el Fort Pienc,39,65
2005,5,el Fort Pienc,54,66
2005,5,el Fort Pienc,11,67
2005,5,el Fort Pienc,43,68
2005,5,el Fort Pienc,22,69
2005,5,el Fort Pienc,17,70
2005,5,el Fort Pienc,26,71
2005,5,el Fort Pienc,22,72
2005,5,el Fort Pienc,13,73
2005,6,la Sagrada Família,71,1
2005,6,la Sagrada Família,31,2
2005,6,la Sagrada Família,12,3
2005,6,la Sagrada Família,39,4
2005,6,la Sagrada Família,92,5
2005,6,la Sagrada Família,733,6
2005,6,la Sagrada Família,102,7
2005,6,la Sagrada Família,66,8
2005,6,la Sagrada Família,78,9
2005,6,la Sagrada Família,43,10
2005,6,la Sagrada Família,37,11
2005,6,la Sagrada Família,21,13
2005,6,la Sagrada Família,6,14
2005,6,la Sagrada Família,24,15
2005,6,la Sagrada Família,9,16
2005,6,la Sagrada Família,23,17
2005,6,la Sagrada Família,49,18
2005,6,la Sagrada Família,33,19
2005,6,la Sagrada Família,30,20
2005,6,la Sagrada Família,..,21
2005,6,la Sagrada Família,5,22
2005,6,la Sagrada Família,20,23
2005,6,la Sagrada Família,7,24
2005,6,la Sagrada Família,29,25
2005,6,la Sagrada Família,50,26
2005,6,la Sagrada Família,22,27
2005,6,la Sagrada Família,12,28
2005,6,la Sagrada Família,8,29
2005,6,la Sagrada Família,22,30
2005,6,la Sagrada Família,84,31
2005,6,la Sagrada Família,144,32
2005,6,la Sagrada Família,170,33
2005,6,la Sagrada Família,13,34
2005,6,la Sagrada Família,62,35
2005,6,la Sagrada Família,8,36
2005,6,la Sagrada Família,32,37
2005,6,la Sagrada Família,18,38
2005,6,la Sagrada Família,..,39
2005,6,la Sagrada Família,6,40
2005,6,la Sagrada Família,9,41
2005,6,la Sagrada Família,42,43
2005,6,la Sagrada Família,60,44
2005,6,la Sagrada Família,18,45
2005,6,la Sagrada Família,22,46
2005,6,la Sagrada Família,..,47
2005,6,la Sagrada Família,12,48
2005,6,la Sagrada Família,5,49
2005,6,la Sagrada Família,13,50
2005,6,la Sagrada Família,14,51
2005,6,la Sagrada Família,44,52
2005,6,la Sagrada Família,11,53
2005,6,la Sagrada Família,10,55
2005,6,la Sagrada Família,18,57
2005,6,la Sagrada Família,..,58
2005,6,la Sagrada Família,15,59
2005,6,la Sagrada Família,43,60
2005,6,la Sagrada Família,32,61
2005,6,la Sagrada Família,22,62
2005,6,la Sagrada Família,47,63
2005,6,la Sagrada Família,241,64
2005,6,la Sagrada Família,73,65
2005,6,la Sagrada Família,15,66
2005,6,la Sagrada Família,8,67
2005,6,la Sagrada Família,38,68
2005,6,la Sagrada Família,8,69
2005,6,la Sagrada Família,28,70
2005,6,la Sagrada Família,25,71
2005,6,la Sagrada Família,31,72
2005,6,la Sagrada Família,27,73
2005,7,la Dreta de l'Eixample,69,1
2005,7,la Dreta de l'Eixample,43,2
2005,7,la Dreta de l'Eixample,17,3
2005,7,la Dreta de l'Eixample,56,4
2005,7,la Dreta de l'Eixample,176,5
2005,7,la Dreta de l'Eixample,155,6
2005,7,la Dreta de l'Eixample,451,7
2005,7,la Dreta de l'Eixample,120,8
2005,7,la Dreta de l'Eixample,100,9
2005,7,la Dreta de l'Eixample,70,10
2005,7,la Dreta de l'Eixample,46,11
2005,7,la Dreta de l'Eixample,14,13
2005,7,la Dreta de l'Eixample,..,14
2005,7,la Dreta de l'Eixample,17,15
2005,7,la Dreta de l'Eixample,8,16
2005,7,la Dreta de l'Eixample,19,17
2005,7,la Dreta de l'Eixample,35,18
2005,7,la Dreta de l'Eixample,44,19
2005,7,la Dreta de l'Eixample,14,20
2005,7,la Dreta de l'Eixample,13,21
2005,7,la Dreta de l'Eixample,34,23
2005,7,la Dreta de l'Eixample,19,24
2005,7,la Dreta de l'Eixample,19,25
2005,7,la Dreta de l'Eixample,104,26
2005,7,la Dreta de l'Eixample,54,27
2005,7,la Dreta de l'Eixample,19,28
2005,7,la Dreta de l'Eixample,6,29
2005,7,la Dreta de l'Eixample,11,30
2005,7,la Dreta de l'Eixample,147,31
2005,7,la Dreta de l'Eixample,96,32
2005,7,la Dreta de l'Eixample,38,33
2005,7,la Dreta de l'Eixample,5,34
2005,7,la Dreta de l'Eixample,36,35
2005,7,la Dreta de l'Eixample,..,36
2005,7,la Dreta de l'Eixample,18,37
2005,7,la Dreta de l'Eixample,12,38
2005,7,la Dreta de l'Eixample,..,39
2005,7,la Dreta de l'Eixample,8,40
2005,7,la Dreta de l'Eixample,..,41
2005,7,la Dreta de l'Eixample,11,43
2005,7,la Dreta de l'Eixample,19,44
2005,7,la Dreta de l'Eixample,9,45
2005,7,la Dreta de l'Eixample,9,46
2005,7,la Dreta de l'Eixample,..,47
2005,7,la Dreta de l'Eixample,5,48
2005,7,la Dreta de l'Eixample,..,49
2005,7,la Dreta de l'Eixample,..,50
2005,7,la Dreta de l'Eixample,..,51
2005,7,la Dreta de l'Eixample,18,52
2005,7,la Dreta de l'Eixample,5,53
2005,7,la Dreta de l'Eixample,7,55
2005,7,la Dreta de l'Eixample,..,57
2005,7,la Dreta de l'Eixample,..,59
